Bauperiode,Bezirk,Adresse
1781-1848,04,Wiedner Hauptstraße 30
1884-1918,04,Wiedner Hauptstraße 27 - 29
1884-1918,04,Wiedner Hauptstraße 24
Vor 1683,04,Wiedner Hauptstraße 36 / 2
1848 -1918,04,Theresianumgasse 13 / 2
nach 1945,04,Theresianumgasse 14 / 1
1848 -1918,04,Theresianumgasse 15
1884-1918,04,Gußhausstraße 5
1884-1918,04,Gußhausstraße 6
1884-1918,04,Gußhausstraße 7
1884-1918,04,Gußhausstraße 8
1884-1918,04,Gußhausstraße 9
1884-1918,04,Gußhausstraße 10
1884-1918,04,Gußhausstraße 12
1884-1918,04,Gußhausstraße 14
1848 -1918,04,Gußhausstraße 15
1884-1918,04,Gußhausstraße 16
1884-1918,04,Gußhausstraße 17
1884-1918,04,Gußhausstraße 4
1860-1883,04,Gußhausstraße 18
1860-1883,04,Gußhausstraße 20
1884-1918,04,Gußhausstraße 21
1860-1883,04,Gußhausstraße 22
1884-1918,04,Gußhausstraße 23
1860-1883,04,Gußhausstraße 24
1884-1918,04,Gußhausstraße 25
1860-1883,04,Gußhausstraße 25 / 2
1860-1883,04,Gußhausstraße 26
nach 1945,04,Gußhausstraße 27 - 29
1860-1883,04,Gußhausstraße 28
1884-1918,04,Gußhausstraße 19
1884-1918,04,Gußhausstraße 3
1884-1918,04,Gußhausstraße 2
nach 1945,04,Theresianumgasse 16 - 18
1860-1883,04,Theresianumgasse 17
1884-1918,04,Theresianumgasse 21
1946-1976,04,Theresianumgasse 21 A
1884-1918,04,Theresianumgasse 23
nach 1945,04,Theresianumgasse 25
1884-1918,04,Theresianumgasse 27
1884-1918,04,Theresianumgasse 31
1781-1848,04,Theresianumgasse 33
Nach 1976,04,Mattiellistraße 3
nach 1945,04,Mattiellistraße 2 - 4
1860-1883,04,Gußhausstraße 30
1860-1883,04,Schönbrunner Straße 1
1781-1848,04,Schönbrunner Straße 2
1781-1848,04,Schönbrunner Straße 4
1860-1883,04,Schönbrunner Straße 5
1884-1918,04,Brucknerstraße 2
1884-1918,04,Brucknerstraße 4
1884-1918,04,Brucknerstraße 6
1884-1918,04,Brucknerstraße 8
1781-1848,04,Wiedner Hauptstraße 42 - 0
nach 1945,04,Wiedner Hauptstraße 43
1741-1780,04,Wiedner Hauptstraße 44
1946-1976,04,Prinz-Eugen-Straße 46
1848 -1918,04,Prinz-Eugen-Straße 48
nach 1945,04,Prinz-Eugen-Straße 52
1860-1883,04,Prinz-Eugen-Straße 54
1860-1883,04,Prinz-Eugen-Straße 56
1781-1848,04,Prinz-Eugen-Straße 58
1884-1918,04,Prinz-Eugen-Straße 60
1860-1883,04,Prinz-Eugen-Straße 66
1884-1918,04,Prinz-Eugen-Straße 68
1884-1918,04,Prinz-Eugen-Straße 70
1884-1918,04,Prinz-Eugen-Straße 44
1848 -1918,04,Prinz-Eugen-Straße 72
1860-1883,04,Prinz-Eugen-Straße 76
1884-1918,04,Prinz-Eugen-Straße 80
1860-1883,04,Goldeggasse 1 - 3
1884-1918,04,Goldeggasse 2
1860-1883,04,Goldeggasse 4
1884-1918,04,Goldeggasse 5 / 2
1860-1883,04,Goldeggasse 5
1781-1848,04,Goldeggasse 6
1848 -1918,04,Goldeggasse 7
1848 -1918,04,Goldeggasse 8
1860-1883,04,Prinz-Eugen-Straße 74
1884-1918,04,Goldeggasse 9
1884-1918,04,Prinz-Eugen-Straße 42
1884-1918,04,Prinz-Eugen-Straße 38
1884-1918,04,Schleifmühlgasse 21
1884-1918,04,Schleifmühlgasse 23
1884-1918,04,Schleifmühlgasse 25
1884-1918,04,Paniglgasse 18 - 20
1884-1918,04,Paniglgasse 19 A
1884-1918,04,Paniglgasse 19
1884-1918,04,Paniglgasse 22
1884-1918,04,Paniglgasse 24 / 1
1884-1918,04,Paniglgasse 24 / 2
1860-1883,04,Prinz-Eugen-Straße 14
1860-1883,04,Prinz-Eugen-Straße 40
1860-1883,04,Prinz-Eugen-Straße 16
nach 1945,04,Prinz-Eugen-Straße 20 - 22
1884-1918,04,Prinz-Eugen-Straße 26
nach 1945,04,Prinz-Eugen-Straße 28
1884-1918,04,Prinz-Eugen-Straße 30
1884-1918,04,Prinz-Eugen-Straße 32
1884-1918,04,Prinz-Eugen-Straße 34
nach 1945,04,Prinz-Eugen-Straße 36 / 4
nach 1945,04,Prinz-Eugen-Straße 36 / 3
nach 1945,04,Prinz-Eugen-Straße 36 / 2
nach 1945,04,Prinz-Eugen-Straße 36 / 1
1860-1883,04,Prinz-Eugen-Straße 18
1683-1740,04,Waaggasse 4 / 2
1848 -1918,04,Goldeggasse 9 / 2
1848 -1918,04,Goldeggasse 11
1781-1848,04,Wiedner Hauptstraße 55 / 1
1781-1848,04,Wiedner Hauptstraße 55 / 3
1781-1848,04,Wiedner Hauptstraße 54
vor 1848,04,Wiedner Hauptstraße 53
1741-1780,04,Wiedner Hauptstraße 52
1781-1848,04,Wiedner Hauptstraße 51
1781-1848,04,Goldeggasse 21
1860-1883,04,Goldeggasse 22
nach 1945,04,Goldeggasse 24
1781-1848,04,Goldeggasse 25
nach 1945,04,Wiedner Hauptstraße 56
1848 -1918,04,Goldeggasse 26
nach 1945,04,Goldeggasse 28
1848 -1918,04,Goldeggasse 29
1848 -1918,04,Goldeggasse 30
1848 -1918,04,Goldeggasse 31 / 2
1848 -1918,04,Goldeggasse 31 / 1
1848 -1918,04,Goldeggasse 32
1848 -1918,04,Goldeggasse 33
1781-1848,04,Wiedner Hauptstraße 49
1884-1918,04,Wiedner Hauptstraße 46
1848 -1918,04,Wiedner Hauptstraße 45 - 47
nach 1945,04,Goldeggasse 27
1848 -1918,04,Goldeggasse 9 / 1
1884-1918,04,Wiedner Hauptstraße 57
1781-1848,04,Wiedner Hauptstraße 60 B / 3
1848 -1918,04,Goldeggasse 14
1848 -1918,04,Goldeggasse 15
1848 -1918,04,Goldeggasse 16 / 1
nach 1945,04,Goldeggasse 16 / 2
1848 -1918,04,Goldeggasse 17
nach 1945,04,Goldeggasse 18
1919 - 1945,04,Goldeggasse 19
1860-1883,04,Goldeggasse 20
1741-1780,04,Wiedner Hauptstraße 82
1848 -1918,04,Wiedner Hauptstraße 77 / 1
1884-1918,04,Wiedner Hauptstraße 59
nach 1945,04,Wiedner Hauptstraße 76
nach 1945,04,Wiedner Hauptstraße 73
nach 1945,04,Wiedner Hauptstraße 71
nach 1945,04,Wiedner Hauptstraße 68
1884-1918,04,Wiedner Hauptstraße 66
1884-1918,04,Wiedner Hauptstraße 64
nach 1945,04,Wiedner Hauptstraße 63
1781-1848,04,Wiedner Hauptstraße 62
1884-1918,04,Wiedner Hauptstraße 61
1781-1848,04,Wiedner Hauptstraße 60 A
1781-1848,04,Wiedner Hauptstraße 60 B / 1
1848 -1918,04,Wiedner Hauptstraße 60 B / 4
1860-1883,04,Waaggasse 4
nach 1945,04,Mittersteig 9
nach 1945,04,Waaggasse 2 - 2 - A / 4
1884-1918,04,Wohllebengasse 16
1884-1918,04,Wohllebengasse 17
1860-1883,04,Wohllebengasse 18
1884-1918,04,Wohllebengasse 19
1860-1883,04,Schönburgstraße 2
1848 -1918,04,Schönburgstraße 3
1860-1883,04,Schönburgstraße 4
vor 1848,04,Schönburgstraße 5
1860-1883,04,Schönburgstraße 6
nach 1945,04,Schönburgstraße 7
1860-1883,04,Schönburgstraße 8 - 10
nach 1945,04,Schönburgstraße 9
1848 -1918,04,Schönburgstraße 11
1848 -1918,04,Mommsengasse 24
nach 1945,04,Waaggasse 2 - 2 - A / 5
1860-1883,04,Schönburgstraße 12
nach 1945,04,Schönburgstraße 13
1860-1883,04,Schönburgstraße 14
1919 - 1945,04,Schönburgstraße 15
1860-1883,04,Schönburgstraße 16
1848 -1918,04,Schönburgstraße 17
1860-1883,04,Schönburgstraße 18
1848 -1918,04,Schönburgstraße 19
1860-1883,04,Schönburgstraße 20
1884-1918,04,Wohllebengasse 15
vor 1848,04,Schönburgstraße 23
1884-1918,04,Wohllebengasse 13
1884-1918,04,Wohllebengasse 11
nach 1945,04,Graf-Starhemberg-Gasse 13 / 15
nach 1945,04,Graf-Starhemberg-Gasse 13 / 14
nach 1945,04,Graf-Starhemberg-Gasse 11 / 16
nach 1945,04,Graf-Starhemberg-Gasse 11 / 17
nach 1945,04,Graf-Starhemberg-Gasse 11 / 18
1860-1883,04,Graf-Starhemberg-Gasse 9
1884-1918,04,Graf-Starhemberg-Gasse 8 - 10
1884-1918,04,Graf-Starhemberg-Gasse 7
1884-1918,04,Graf-Starhemberg-Gasse 6
1860-1883,04,Graf-Starhemberg-Gasse 5 / 2
1860-1883,04,Graf-Starhemberg-Gasse 5 / 1
1884-1918,04,Graf-Starhemberg-Gasse 4
1860-1883,04,Graf-Starhemberg-Gasse 3
1884-1918,04,Graf-Starhemberg-Gasse 2 B
nach 1945,04,Treitlstraße 2
1860-1883,04,Wohllebengasse 3 - 5
1884-1918,04,Wohllebengasse 4
nach 1945,04,Wohllebengasse 6
1884-1918,04,Wohllebengasse 7
1848 -1918,04,Mommsengasse 23
1884-1918,04,Wohllebengasse 9
1860-1883,04,Wohllebengasse 10
nach 1945,04,Wohllebengasse 12 - 14
nach 1945,04,Graf-Starhemberg-Gasse 13 / 13
nach 1945,04,Schönburgstraße 24
1848 -1918,04,Schönburgstraße 25
1860-1883,04,Preßgasse 26
1884-1918,04,Preßgasse 28
1781-1848,04,Preßgasse 29
1781-1848,04,Preßgasse 30
nach 1945,04,Preßgasse 31
1884-1918,04,Rilkeplatz 2
1781-1848,04,Fleischmanngasse 1 / 1
1781-1848,04,Fleischmanngasse 1 / 2
1781-1848,04,Fleischmanngasse 1 / 3
1848 -1918,04,Graf-Starhemberg-Gasse 1 A
1781-1848,04,Fleischmanngasse 2 / 1
1781-1848,04,Fleischmanngasse 2 / 2
nach 1945,04,Fleischmanngasse 3
1884-1918,04,Seisgasse 18
nach 1945,04,Seisgasse 14 / 1
nach 1945,04,Seisgasse 14 / 2
1884-1918,04,Seisgasse 9
1848 -1918,04,Seisgasse 8
1848 -1918,04,Mommsengasse 25
nach 1945,04,Mommsengasse 26
1884-1918,04,Seisgasse 7
1860-1883,04,Preßgasse 25
nach 1945,04,Preßgasse 24
1860-1883,04,Preßgasse 22
1848 -1918,04,Schönburgstraße 26
1848 -1918,04,Schönburgstraße 27
1848 -1918,04,Schönburgstraße 30
1848 -1918,04,Schönburgstraße 31
1884-1918,04,Schönburgstraße 32
1848 -1918,04,Schönburgstraße 33
1884-1918,04,Schwarzenbergplatz 14
1848 -1918,04,Schönburgstraße 38
1884-1918,04,Schönburgstraße 40
1884-1918,04,Schönburgstraße 42
1884-1918,04,Schönburgstraße 44
1884-1918,04,Schönburgstraße 46
1884-1918,04,Schönburgstraße 48
1848 -1918,04,Schönburgstraße 50
1848 -1918,04,Schönburgstraße 52
1884-1918,04,Preßgasse 15
1781-1848,04,Preßgasse 17
1884-1918,04,Danhausergasse 10
1781-1848,04,Rilkeplatz 9
1860-1883,04,Rilkeplatz 8
1849-1859,04,Rilkeplatz 7
1781-1848,04,Preßgasse 18
1860-1883,04,Preßgasse 19
1860-1883,04,Preßgasse 21
1860-1883,04,Preßgasse 23
1884-1918,04,Seisgasse 7 A
nach 1945,04,Graf-Starhemberg-Gasse 13 / 9
nach 1945,04,Graf-Starhemberg-Gasse 13 / 12
1884-1918,04,Große Neugasse 2
1781-1848,04,Große Neugasse 1
1884-1918,04,Graf-Starhemberg-Gasse 37
nach 1945,04,Graf-Starhemberg-Gasse 35
nach 1945,04,Graf-Starhemberg-Gasse 34 / 1
1848 -1918,04,Graf-Starhemberg-Gasse 33
nach 1945,04,Graf-Starhemberg-Gasse 32 / 2
nach 1945,04,Rainergasse 1
vor 1848,04,Rainergasse 3
nach 1945,04,Rainergasse 4
nach 1945,04,Rainergasse 5
nach 1945,04,Rainergasse 6 - 8 / 2
nach 1945,04,Rainergasse 6 - 8 / 1
nach 1945,04,Rainergasse 7
nach 1945,04,Rainergasse 9 A
1683-1740,04,Rainergasse 11
nach 1945,04,Rainergasse 13
1884-1918,04,Rainergasse 14
1781-1848,04,Rainergasse 16 / 3
1781-1848,04,Rainergasse 16 / 2
1781-1848,04,Rainergasse 16 / 1
nach 1945,04,Rainergasse 17
1884-1918,04,Große Neugasse 4
1848 -1918,04,Rainergasse 21
1860-1883,04,Große Neugasse 5
1860-1883,04,Große Neugasse 7
1884-1918,04,Graf-Starhemberg-Gasse 39
nach 1945,04,Graf-Starhemberg-Gasse 38
1848 -1918,04,Große Neugasse 44
1848 -1918,04,Große Neugasse 42
1848 -1918,04,Große Neugasse 40
vor 1848,04,Große Neugasse 38
1848 -1918,04,Große Neugasse 35
1848 -1918,04,Große Neugasse 33
1848 -1918,04,Große Neugasse 32 - 34
1848 -1918,04,Große Neugasse 31
1848 -1918,04,Große Neugasse 30
nach 1945,04,Große Neugasse 28
1848 -1918,04,Große Neugasse 26
nach 1945,04,Große Neugasse 22 - 24 / 1
nach 1945,04,Große Neugasse 22 - 24 / 2
1848 -1918,04,Große Neugasse 18 / 2
1848 -1918,04,Große Neugasse 18 / 1
1848 -1918,04,Große Neugasse 16
1860-1883,04,Große Neugasse 15
1848 -1918,04,Große Neugasse 14
1848 -1918,04,Große Neugasse 13
1848 -1918,04,Große Neugasse 12
1860-1883,04,Große Neugasse 11
1884-1918,04,Große Neugasse 8
1848 -1918,04,Große Neugasse 6
nach 1945,04,Graf-Starhemberg-Gasse 13 / 10
1781-1848,04,Rainergasse 22
1848 -1918,04,Rainergasse 24
1860-1883,04,Graf-Starhemberg-Gasse 16
1848 -1918,04,Graf-Starhemberg-Gasse 15
1683-1740,04,Graf-Starhemberg-Gasse 14
1848 -1918,04,Mommsengasse 10
nach 1945,04,Mommsengasse 12
nach 1945,04,Südtiroler Platz 11
nach 1945,04,Südtiroler Platz 9
nach 1945,04,Südtiroler Platz 8
nach 1945,04,Südtiroler Platz 7
nach 1945,04,Südtiroler Platz 5
1848 -1918,04,Südtiroler Platz 2
nach 1945,04,Südtiroler Platz 1
1848 -1918,04,Mommsengasse 13
1848 -1918,04,Mommsengasse 13 A
1848 -1918,04,Mommsengasse 15
vor 1848,04,Mommsengasse 16
nach 1945,04,Mommsengasse 17
nach 1945,04,Mommsengasse 18
1848 -1918,04,Mommsengasse 19 A
1848 -1918,04,Mommsengasse 19
1848 -1918,04,Mommsengasse 20
1848 -1918,04,Mommsengasse 21
nach 1945,04,Graf-Starhemberg-Gasse 13 / 11
1848 -1918,04,Graf-Starhemberg-Gasse 17
nach 1945,04,Rainergasse 23 / 1
1860-1883,04,Graf-Starhemberg-Gasse 18
nach 1945,04,Graf-Starhemberg-Gasse 21
nach 1945,04,Rainergasse 25 / 2
nach 1945,04,Rainergasse 26 - 28 / 3
nach 1945,04,Rainergasse 26 - 28 / 1
nach 1945,04,Rainergasse 26 - 28 / 2
1919 - 1945,04,Rainergasse 27 / 2
1919 - 1945,04,Rainergasse 27 / 1
1884-1918,04,Rainergasse 29
nach 1945,04,Rainergasse 30
1884-1918,04,Rainergasse 31
nach 1945,04,Mommsengasse 6
1848 -1918,04,Mommsengasse 9
1848 -1918,04,Graf-Starhemberg-Gasse 32 / 1
vor 1848,04,Graf-Starhemberg-Gasse 31
nach 1945,04,Graf-Starhemberg-Gasse 30 / 3
nach 1945,04,Graf-Starhemberg-Gasse 30 / 2
nach 1945,04,Graf-Starhemberg-Gasse 30 / 1
1848 -1918,04,Graf-Starhemberg-Gasse 29
nach 1945,04,Graf-Starhemberg-Gasse 28
1848 -1918,04,Graf-Starhemberg-Gasse 27
1848 -1918,04,Graf-Starhemberg-Gasse 26
nach 1945,04,Graf-Starhemberg-Gasse 25
vor 1848,04,Graf-Starhemberg-Gasse 24
nach 1945,04,Graf-Starhemberg-Gasse 23
1848 -1918,04,Graf-Starhemberg-Gasse 22
1848 -1918,04,Graf-Starhemberg-Gasse 20
nach 1945,04,Seisgasse 2
1884-1918,04,Schwarzenbergplatz 13
1848 -1918,04,Trappelgasse 11
1741-1780,04,Rechte Wienzeile 15
nach 1945,04,Rechte Wienzeile 13 / 4
nach 1945,04,Rechte Wienzeile 13 / 2
nach 1945,04,Rechte Wienzeile 13 / 1
Keine Angabe,04,Rechte Wienzeile 11 A
1919 - 1945,04,Rechte Wienzeile 9
1919 - 1945,04,Rechte Wienzeile 9 A
nach 1945,04,Rechte Wienzeile 5
1781-1848,04,Rechte Wienzeile 3
1884-1918,04,Rechte Wienzeile 19
1919-1945,04,Rechte Wienzeile 1 B
nach 1945,04,Fleischmanngasse 8
nach 1945,04,Fleischmanngasse 7
vor 1848,04,Fleischmanngasse 6
nach 1945,04,Fleischmanngasse 4
1848 -1918,04,Trappelgasse 5
nach 1945,04,Trappelgasse 6
1848 -1918,04,Trappelgasse 7
1848 -1918,04,Trappelgasse 8
1781-1848,04,Rechte Wienzeile 21
1781-1848,04,Rechte Wienzeile 23
nach 1945,04,Rechte Wienzeile 25 - 27 / 2
nach 1945,04,Mommsengasse 31
1848 -1918,04,Mommsengasse 33
1848 -1918,04,Mommsengasse 35
1884-1918,04,Mommsengasse 30
1848 -1918,04,Trappelgasse 4
nach 1945,04,Trappelgasse 3 / 1
nach 1945,04,Trappelgasse 3 / 2
nach 1945,04,Rechte Wienzeile 25 - 27 / 4
nach 1945,04,Rechte Wienzeile 25 - 27 / 1
nach 1945,04,Rechte Wienzeile 25 - 27 / 5
nach 1945,04,Rechte Wienzeile 25 - 27 / 3
1884-1918,04,Rechte Wienzeile 29
1848 -1918,04,Trappelgasse 9
1781-1848,04,Rechte Wienzeile 31
nach 1945,04,Fleischmanngasse 5
1781-1848,04,Rechte Wienzeile 39
1860-1883,04,Waaggasse 1
1781-1848,04,Rechte Wienzeile 37
1781-1848,04,Rechte Wienzeile 35
1848 -1918,05,Hartmanngasse 7 - 11
vor 1848,05,Hartmanngasse 8
1848 -1918,05,Obere Amtshausgasse 19
1848 -1918,05,Obere Amtshausgasse 17
nach 1945,05,Hartmanngasse 10
1848 -1918,05,Hartmanngasse 12
nach 1945,05,Stolberggasse 35
1848 -1918,05,Hartmanngasse 13
nach 1945,05,Stolberggasse 34
Keine Angabe,05,Stolberggasse 42 / 2
1848 -1918,05,Hartmanngasse 15
nach 1945,05,Hartmanngasse 16
nach 1945,05,Margaretenstraße 140 / 1
nach 1945,05,Kleine Neugasse 15 - 19 / 2
1848 -1918,05,Hartmanngasse 17
nach 1945,05,Anzengrubergasse 2 / 2
1848 -1918,05,Stolberggasse 32
nach 1945,05,Stolberggasse 31 - 33 / 1
nach 1945,05,Kleine Neugasse 15 - 19 / 1
nach 1945,05,Hartmanngasse 6
1848 -1918,05,Hartmanngasse 14
nach 1945,05,Hartmanngasse 5 / 1
1848 -1918,05,Hartmanngasse 4
nach 1945,05,Kleine Neugasse 21
nach 1945,05,Stolberggasse 42
nach 1945,05,Kleine Neugasse 23
1848 -1918,05,Stolberggasse 41
1848 -1918,05,Margaretenstraße 124
1848 -1918,05,Margaretenstraße 125
Keine Angabe,05,Stolberggasse 42 / 3
1848 -1918,05,Obere Amtshausgasse 27
1848 -1918,05,Obere Amtshausgasse 26
1848 -1918,05,Obere Amtshausgasse 24
1848 -1918,05,Obere Amtshausgasse 23 - 25
1848 -1918,05,Margaretenstraße 138
1848 -1918,05,Obere Amtshausgasse 22
1848 -1918,05,Obere Amtshausgasse 21
nach 1945,05,Hartmanngasse 2 B
nach 1945,05,Stolberggasse 31 - 33 / 2
1848 -1918,05,Obere Amtshausgasse 20
nach 1945,05,Hartmanngasse 5 / 2
1848 -1918,05,Pilgramgasse 9
1884-1918,05,Pilgramgasse 8
1848 -1918,05,Nikolsdorfer Gasse 42
1884-1918,05,Pilgramgasse 10
nach 1945,05,Stolberggasse 31 - 33 / 4
nach 1945,05,Stolberggasse 27
1848 -1918,05,Stolberggasse 12
1848 -1918,05,Stolberggasse 13
nach 1945,05,Stolberggasse 14
1848 -1918,05,Stolberggasse 15
nach 1945,05,Stolberggasse 16
1848 -1918,05,Stolberggasse 17
nach 1945,05,Stolberggasse 18
1848 -1918,05,Margaretenstraße 134
1848 -1918,05,Stolberggasse 19
1848 -1918,05,Stolberggasse 21
1848 -1918,05,Stolberggasse 23 B
1848 -1918,05,Stolberggasse 23 A
1848 -1918,05,Stolberggasse 25
1849-1859,05,Pilgramgasse 3
1884-1918,05,Pilgramgasse 4
1860-1883,05,Pilgramgasse 5
1884-1918,05,Pilgramgasse 6
1860-1883,05,Pilgramgasse 7
1848 -1918,05,Stolberggasse 20
nach 1945,05,Stolberggasse 31 - 33 / 3
1848 -1918,05,Pilgramgasse 11
1848 -1918,05,Pilgramgasse 13
1848 -1918,05,Pilgramgasse 22
1848 -1918,05,Nikolsdorfer Gasse 39 - 41
1848 -1918,05,Margaretenstraße 135
1848 -1918,05,Pilgramgasse 20
1848 -1918,05,Pilgramgasse 18
1848 -1918,05,Pilgramgasse 17
nach 1945,05,Nikolsdorfer Gasse 38 - 40
nach 1945,05,Nikolsdorfer Gasse 37
nach 1945,05,Nikolsdorfer Gasse 35
nach 1945,05,Nikolsdorfer Gasse 33
1848 -1918,05,Margaretenstraße 126
1848 -1918,05,Margaretenstraße 129
1848 -1918,05,Margaretenstraße 132
Keine Angabe,05,Margaretenstraße 133
nach 1945,05,Hartmanngasse 19
nach 1945,05,Stolberggasse 1 - 3
1848 -1918,05,Stolberggasse 9
1848 -1918,05,Stolberggasse 10
1848 -1918,05,Stolberggasse 11
1848 -1918,05,Pilgramgasse 15
1848 -1918,05,Pilgramgasse 24
1848 -1918,05,Margaretenstraße 137
1848 -1918,05,Margaretenstraße 113
1848 -1918,05,Margaretenstraße 122
1848 -1918,05,Margaretenstraße 97
1848 -1918,05,Margaretenstraße 96
1848 -1918,05,Margaretenstraße 95
nach 1945,05,Margaretenstraße 94
nach 1945,05,Margaretenstraße 93
1848 -1918,05,Margaretenstraße 91
nach 1945,05,Margaretenstraße 89 / 910
1848 -1918,05,Anzengrubergasse 19
nach 1945,05,Anzengrubergasse 20
1848 -1918,05,Anzengrubergasse 21
1848 -1918,05,Anzengrubergasse 22
1848 -1918,05,Margaretenstraße 98
nach 1945,05,Brandmayergasse 2
nach 1945,05,Brandmayergasse 4
1848 -1918,05,Brandmayergasse 5
1848 -1918,05,Brandmayergasse 6
nach 1945,05,Brandmayergasse 7
1848 -1918,05,Brandmayergasse 9
1848 -1918,05,Anzengrubergasse 23
1848 -1918,05,Anzengrubergasse 24
1848 -1918,05,Anzengrubergasse 26
1848 -1918,05,Anzengrubergasse 28
1848 -1918,05,Anzengrubergasse 30
1848 -1918,05,Brandmayergasse 3
1848 -1918,05,Margaretenstraße 101
1848 -1918,05,Margaretenstraße 100
nach 1945,05,Anzengrubergasse 18
1848 -1918,05,Anzengrubergasse 17
1848 -1918,05,Anzengrubergasse 16
1848 -1918,05,Anzengrubergasse 15
1848 -1918,05,Anzengrubergasse 14
1848 -1918,05,Anzengrubergasse 13
1848 -1918,05,Anzengrubergasse 12
1848 -1918,05,Anzengrubergasse 11
nach 1945,05,Anzengrubergasse 10
1848 -1918,05,Anzengrubergasse 9
1848 -1918,05,Anzengrubergasse 8
1848 -1918,05,Anzengrubergasse 7
1848 -1918,05,Anzengrubergasse 5
1848 -1918,05,Anzengrubergasse 4
nach 1945,05,Anzengrubergasse 2 / 1
1848 -1918,05,Kriehubergasse 9
1848 -1918,05,Kriehubergasse 8
1848 -1918,05,Kriehubergasse 5
nach 1945,05,Kriehubergasse 2 / 1
1848 -1918,05,Stolberggasse 55
1848 -1918,05,Stolberggasse 53
1848 -1918,05,Stolberggasse 51 A
1848 -1918,05,Stolberggasse 51
nach 1945,05,Margaretenstraße 89
1848 -1918,05,Margaretenstraße 123
nach 1945,05,Margaretenstraße 88 - 90
nach 1945,05,Margaretenstraße 80 / 2
1919 - 1945,05,Brandmayergasse 27 / 3
1848 -1918,05,Brandmayergasse 28
1848 -1918,05,Brandmayergasse 31
nach 1945,05,Brandmayergasse 33
nach 1945,05,Brandmayergasse 35
1848 -1918,05,Brandmayergasse 36
1919 - 1945,05,Brandmayergasse 37 / 910
1919 - 1945,05,Brandmayergasse 37 / 1
nach 1945,05,Obere Amtshausgasse 6 - 8
1919 - 1945,05,Brandmayergasse 27 / 1
1848 -1918,05,Obere Amtshausgasse 10 - 12
1848 -1918,05,Obere Amtshausgasse 16
nach 1945,05,Margaretenstraße 108
nach 1945,05,Margaretenstraße 108 / 910
1919 - 1945,05,Margaretenstraße 110
nach 1945,05,Margaretenstraße 112
nach 1945,05,Margaretenstraße 145
1848 -1918,05,Margaretenstraße 114
1848 -1918,05,Margaretenstraße 115
1848 -1918,05,Margaretenstraße 119
1848 -1918,05,Margaretenstraße 120
1848 -1918,05,Margaretenstraße 121
1848 -1918,05,Obere Amtshausgasse 14
1919 - 1945,05,Brandmayergasse 27 / 2
1919 - 1945,05,Brandmayergasse 24 / 4
1919 - 1945,05,Brandmayergasse 24 / 3
1848 -1918,05,Margaretenstraße 80 / 1
vor 1848,05,Margaretenstraße 75
1848 -1918,05,Margaretenstraße 74
1884-1918,05,Margaretenstraße 71 - 73
1848 -1918,05,Margaretenstraße 70
1848 -1918,05,Margaretenstraße 67 / 1
1848 -1918,05,Margaretenstraße 67 / 2
nach 1945,05,Margaretenstraße 65
1848 -1918,05,Margaretenstraße 64
vor 1848,05,Margaretenstraße 62
1848 -1918,05,Margaretenstraße 61
nach 1945,05,Margaretenstraße 53
1848 -1918,05,Margaretenstraße 102
1848 -1918,05,Margaretenstraße 51
1848 -1918,05,Margaretenstraße 103
nach 1945,05,Margaretenstraße 105 / 1
1848 -1918,05,Margaretenstraße 106
nach 1945,05,Brandmayergasse 12 / 1
1848 -1918,05,Brandmayergasse 15
nach 1945,05,Brandmayergasse 18
1848 -1918,05,Brandmayergasse 21
nach 1945,05,Brandmayergasse 23
1919 - 1945,05,Brandmayergasse 24 / 1
1919 - 1945,05,Brandmayergasse 24 / 2
1848 -1918,05,Margaretenstraße 87
1848 -1918,05,Margaretenstraße 146
1848 -1918,05,Stolberggasse 49
1848 -1918,05,Kriehubergasse 11
1848 -1918,05,Nikolsdorfer Gasse 27 - 29
1848 -1918,05,Högelmüllergasse 11
nach 1945,05,Nikolsdorfer Gasse 26
Keine Angabe,05,Nikolsdorfer Gasse 25
nach 1945,05,Nikolsdorfer Gasse 24
1848 -1918,05,Nikolsdorfer Gasse 23
1781-1848,05,Nikolsdorfer Gasse 22
1848 -1918,05,Nikolsdorfer Gasse 20
1848 -1918,05,Nikolsdorfer Gasse 18
1919 - 1945,05,Nikolsdorfer Gasse 10 - 14
1848 -1918,05,Reinprechtsdorfer Straße 68
1884-1918,05,Nikolsdorfer Gasse 27
1848 -1918,05,Reinprechtsdorfer Straße 66
1848 -1918,05,Reinprechtsdorfer Straße 64
1848 -1918,05,Reinprechtsdorfer Straße 62
1848 -1918,05,Reinprechtsdorfer Straße 59 - 61
1919 - 1945,05,Reinprechtsdorfer Straße 57
1848 -1918,05,Reinprechtsdorfer Straße 56
1848 -1918,05,Högelmüllergasse 12
1848 -1918,05,Högelmüllergasse 13
1848 -1918,05,Högelmüllergasse 14
nach 1945,05,Högelmüllergasse 15
nach 1945,05,Reinprechtsdorfer Straße 1 / 48
nach 1945,05,Nikolsdorfer Gasse 28 - 30
1848 -1918,05,Reinprechtsdorfer Straße 74
nach 1945,05,Nikolsdorfer Gasse 8
nach 1945,05,Ziegelofengasse 22
nach 1945,05,Ziegelofengasse 21
nach 1945,05,Ziegelofengasse 20
1781-1848,05,Ziegelofengasse 19
1781-1848,05,Ziegelofengasse 17
1848 -1918,05,Ziegelofengasse 16 / 1
1884-1918,05,Ziegelofengasse 15
vor 1848,05,Ziegelofengasse 13
